quarter,year,万寿西宫,万柳,东四,东四环,东高村,丰台花园,云岗,亦庄,八达岭,农展馆,前门,北部新区,南三环,古城,大兴,天坛,奥体中心,官园,定陵,密云,密云水库,平谷,延庆,怀柔,房山,昌平,植物园,榆垡,永乐店,永定门内,琉璃河,西直门北,通州,门头沟,顺义
1,2015,36,35,36,45,28,41,38,44,22,39,38,38,41,36,47,33,35,31,31,33,25,35,29,29,47,32,32,49,49,40,63,37,48,33,37
2,2015,18,22,23,20,26,25,18,22,13,22,21,19,26,21,18,19,21,19,14,13,11,13,9,16,21,16,18,16,25,19,24,21,19,15,22
3,2015,11,12,16,11,10,9,8,11,9,11,15,10,15,9,12,12,15,16,6,4,3,5,5,6,11,7,9,6,12,13,14,9,11,4,11
4,2015,41,37,41,42,37,41,36,46,16,41,35,39,43,41,44,41,40,41,29,33,23,36,32,34,45,28,29,45,47,42,48,41,42,30,38
1,2016,25,23,23,25,18,26,24,30,9,24,24,25,28,23,32,23,24,22,17,18,14,23,20,18,33,16,19,42,33,27,50,24,27,17,24
2,2016,10,10,17,16,8,15,10,13,9,15,15,18,20,10,16,12,11,13,9,11,6,9,8,6,14,5,10,15,14,12,9,13,11,6,11
3,2016,15,13,20,13,7,14,13,16,12,16,16,12,18,13,15,13,15,21,7,7,1,7,9,11,11,6,10,12,17,17,8,17,16,7,12
4,2016,40,34,42,44,30,43,37,38,6,39,41,35,43,38,47,37,36,38,30,27,23,30,31,27,43,32,28,53,51,42,58,40,39,31,33
1,2017,27,24,28,28,26,28,31,34,17,28,26,29,30,27,31,24,25,26,22,22,18,30,21,24,29,24,24,39,38,28,44,27,33,28,26
2,2017,6,6,8,7,7,8,5,9,3,6,8,7,11,8,7,6,5,7,4,6,4,6,4,5,4,5,6,10,8,8,7,6,10,8,6
3,2017,6,4,7,7,9,8,3,5,4,4,6,6,2,4,4,3,4,6,5,4,3,6,5,4,4,6,7,4,7,8,4,6,5,3,5
4,2017,14,11,14,15,11,14,10,12,7,14,14,12,16,12,10,13,13,13,9,10,7,12,7,9,13,10,8,16,21,16,24,16,15,9,12
1,2018,19,16,20,19,18,20,18,21,13,19,20,19,21,18,21,18,17,17,14,15,11,19,14,15,20,14,0,33,29,21,31,20,20,17,19
2,2018,10,11,14,12,12,14,10,8,13,10,11,11,11,14,7,8,12,11,11,12,9,10,16,10,12,11,0,13,12,11,15,14,10,11,13
3,2018,0,1,1,0,0,1,0,1,3,0,2,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,2,2,3,1,3,1,0,0
4,2018,13,11,15,16,15,16,13,15,10,12,16,10,17,13,18,14,12,14,9,11,8,13,9,10,16,11,0,26,26,18,28,13,18,11,12
