place,2015_1,2015_2,2015_3,2015_4,2016_1,2016_2,2016_3,2016_4,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4
万寿西宫,36,18,11,41,25,10,15,40,27,6,6,14,19,10,0,13
万柳,35,22,12,37,23,10,13,34,24,6,4,11,16,11,1,11
东四,36,23,16,41,23,17,20,42,28,8,7,14,20,14,1,15
东四环,45,20,11,42,25,16,13,44,28,7,7,15,19,12,0,16
东高村,28,26,10,37,18,8,7,30,26,7,9,11,18,12,0,15
丰台花园,41,25,9,41,26,15,14,43,28,8,8,14,20,14,1,16
云岗,38,18,8,36,24,10,13,37,31,5,3,10,18,10,0,13
亦庄,44,22,11,46,30,13,16,38,34,9,5,12,21,8,1,15
八达岭,22,13,9,16,9,9,12,6,17,3,4,7,13,13,3,10
农展馆,39,22,11,41,24,15,16,39,28,6,4,14,19,10,0,12
前门,38,21,15,35,24,15,16,41,26,8,6,14,20,11,2,16
北部新区,38,19,10,39,25,18,12,35,29,7,6,12,19,11,0,10
南三环,41,26,15,43,28,20,18,43,30,11,2,16,21,11,0,17
古城,36,21,9,41,23,10,13,38,27,8,4,12,18,14,0,13
大兴,47,18,12,44,32,16,15,47,31,7,4,10,21,7,1,18
天坛,33,19,12,41,23,12,13,37,24,6,3,13,18,8,0,14
奥体中心,35,21,15,40,24,11,15,36,25,5,4,13,17,12,0,12
官园,31,19,16,41,22,13,21,38,26,7,6,13,17,11,1,14
定陵,31,14,6,29,17,9,7,30,22,4,5,9,14,11,0,9
密云,33,13,4,33,18,11,7,27,22,6,4,10,15,12,0,11
密云水库,25,11,3,23,14,6,1,23,18,4,3,7,11,9,2,8
平谷,35,13,5,36,23,9,7,30,30,6,6,12,19,10,0,13
延庆,29,9,5,32,20,8,9,31,21,4,5,7,14,16,1,9
怀柔,29,16,6,34,18,6,11,27,24,5,4,9,15,10,0,10
房山,47,21,11,45,33,14,11,43,29,4,4,13,20,12,0,16
昌平,32,16,7,28,16,5,6,32,24,5,6,10,14,11,1,11
植物园,32,18,9,29,19,10,10,28,24,6,7,8,0,0,0,0
榆垡,49,16,6,45,42,15,12,53,39,10,4,16,33,13,2,26
永乐店,49,25,12,47,33,14,17,51,38,8,7,21,29,12,2,26
永定门内,40,19,13,42,27,12,17,42,28,8,8,16,21,11,3,18
琉璃河,63,24,14,48,50,9,8,58,44,7,4,24,31,15,1,28
西直门北,37,21,9,41,24,13,17,40,27,6,6,16,20,14,3,13
通州,48,19,11,42,27,11,16,39,33,10,5,15,20,10,1,18
门头沟,33,15,4,30,17,6,7,31,28,8,3,9,17,11,0,11
顺义,37,22,11,38,24,11,12,33,26,6,5,12,19,13,0,12
