month,level
15_1,106.46
15_2,99.49
15_3,90.96
15_4,73.93
15_5,57.71
15_6,59.53
15_7,59.03
15_8,46.37
15_9,48.01
15_10,70.39
15_11,117.16
15_12,160.29
16_1,77.88
16_2,48.62
16_3,93.83
16_4,67.42
16_5,55.41
16_6,59.82
16_7,67.78
16_8,47.15
16_9,54.75
16_10,82.87
16_11,103.29
16_12,129.22
17_1,123.28
17_2,73.38
17_3,65.15
17_4,54.92
17_5,68.28
17_6,43.45
17_7,50.32
17_8,38.09
17_9,58.35
17_10,57.54
17_11,47.65
17_12,48.41
18_1,39.82
18_2,54.71
18_3,91.19
18_4,64.25
18_5,55.88
18_6,47.03
18_7,47.54
18_8,33.96
18_9,28.68
18_10,44.67
18_11,75.97
18_12,44.85
