place,full_name,lon,lat,y15,y16,y17,y18
东四,东城东四,116.417,39.929,116,102,57,50
天坛,东城天坛,116.407,39.886,105,85,46,40
官园,西城官园,116.339,39.929,107,94,52,43
万寿西宫,西城万寿西宫,116.352,39.878,106,90,53,42
奥体中心,朝阳奥体中心,116.397,39.982,111,86,47,41
农展馆,朝阳农展馆,116.461,39.937,113,94,52,41
万柳,海淀万柳,116.287,39.987,106,80,45,39
北部新区,海淀北部新区,116.174,40.09,106,90,54,40
植物园,海淀北京植物园,116.207,40.002,88,67,45,0
丰台花园,丰台花园,116.279,39.863,116,98,58,51
云岗,丰台云岗,116.146,39.824,100,84,49,41
古城,石景山古城,116.184,39.914,107,84,51,45
房山,房山良乡,116.136,39.742,124,101,50,48
大兴,大兴黄村镇,116.404,39.718,121,110,52,47
亦庄,亦庄开发区,116.506,39.795,123,97,60,45
通州,通州新城,116.663,39.886,120,93,63,49
顺义,顺义新城,116.655,40.127,108,80,49,44
昌平,昌平镇,116.23,40.217,83,59,45,37
门头沟,门头沟龙泉镇,116.106,39.937,82,61,48,39
平谷,平谷镇,117.1,40.143,89,69,54,42
怀柔,怀柔镇,116.628,40.328,85,62,42,35
密云,密云镇,116.832,40.37,83,63,42,38
延庆,延庆镇,115.972,40.453,75,68,37,40
定陵,昌平定陵,116.22,40.292,80,63,40,34
八达岭,京西北八达岭，京西北区域点,115.988,40.365,60,36,31,39
密云水库,京东北密云水库，京东北区域点,116.911,40.499,62,44,32,30
东高村,京东东高村，京东区域点,117.12,40.1,101,63,53,45
永乐店,京东南永乐店，京东南区域点,116.783,39.712,133,115,74,69
榆垡,京南榆垡，京南区域点,116.3,39.52,116,122,69,74
琉璃河,京西南琉璃河，京西南区域点,116.0,39.58,149,125,79,75
前门,前门东大街，前门交通点,116.395,39.899,109,96,54,49
永定门内,永定门内大街，永定门交通点,116.394,39.876,114,98,60,53
西直门北,西直门北大街，西直门交通点,116.349,39.954,108,94,55,50
南三环,南三环西路，南三环交通点,116.368,39.856,125,109,59,49
东四环,东四环北路，东四环交通点,116.483,39.939,118,98,57,47
